epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8,1.20533,2.02971,1.9051,1.86575,0.43689,0.48887,0.43027,0.22704,0.3268,0.40608,0.36277,0.25352,1.44219,7.60239,4.60089,2.52711,0.0621689,0.00439111,0.00439111
2,99.706,1.32532,2.04352,1.708,1.98013,0.44885,0.3355,0.39243,0.1824,0.44763,0.32765,0.38211,0.20448,1.57106,2.90476,2.52183,2.18061,0.024148,0.00879451,0.00879451
3,148.115,1.21276,1.9312,1.51866,1.87381,0.56136,0.5079,0.53297,0.33378,0.54775,0.49633,0.53359,0.38308,1.20056,1.62365,1.53292,1.90359,0.0103794,0.0103794,0.0103794
4,196.979,1.06569,1.71363,1.43822,1.73144,0.73734,0.67551,0.75214,0.5145,0.76254,0.63796,0.71375,0.51547,0.95065,1.81488,1.34393,1.65647,0.0103691,0.0103691,0.0103691
5,245.662,1.00362,1.58384,1.34761,1.6498,0.77664,0.36965,0.47826,0.28264,0.77512,0.36253,0.44823,0.17652,1.34905,4.04196,3.03305,2.19582,0.0103588,0.0103588,0.0103588
6,294.506,0.94764,1.49067,1.22868,1.60105,0.78123,0.84995,0.89126,0.64215,0.78672,0.8568,0.89985,0.68889,0.79132,1.09578,0.93925,1.48244,0.0103485,0.0103485,0.0103485
7,343.338,0.89679,1.42785,1.04373,1.56105,0.73284,0.7542,0.76383,0.54613,0.74047,0.76205,0.78842,0.58745,0.90749,1.3383,1.17867,1.60041,0.0103382,0.0103382,0.0103382
8,391.952,0.83034,1.33233,0.94547,1.48536,0.76647,0.77326,0.7984,0.58604,0.7853,0.79259,0.82199,0.62913,0.73175,0.98166,0.96475,1.43692,0.0103279,0.0103279,0.0103279
9,440.189,0.82829,1.33322,0.93882,1.48425,0.86597,0.86247,0.9154,0.69403,0.8386,0.87776,0.91091,0.72295,0.69692,0.94208,0.96157,1.36806,0.0103176,0.0103176,0.0103176
10,488.812,0.76384,1.32983,0.86356,1.41646,0.89794,0.91844,0.94447,0.74813,0.89746,0.92066,0.94367,0.76866,0.6253,0.78065,0.88073,1.33387,0.0103073,0.0103073,0.0103073
11,537.132,0.73339,1.21228,0.81694,1.38939,0.87505,0.79979,0.8911,0.69658,0.84447,0.84995,0.89976,0.71063,0.67583,0.95392,0.75983,1.37702,0.010297,0.010297,0.010297
12,585.454,0.7131,1.18462,0.7725,1.37251,0.90016,0.92511,0.94262,0.76125,0.91216,0.93665,0.94555,0.79004,0.60983,0.81694,0.66049,1.29545,0.0102867,0.0102867,0.0102867
13,633.921,0.67693,1.12479,0.73825,1.32824,0.89359,0.91666,0.93519,0.7559,0.8967,0.92008,0.94256,0.76517,0.59617,0.83731,0.70321,1.29196,0.0102764,0.0102764,0.0102764
14,682.584,0.66752,1.1201,0.78112,1.32214,0.90261,0.89742,0.93772,0.73501,0.89882,0.90771,0.94016,0.74272,0.60103,0.76645,0.69357,1.33745,0.0102661,0.0102661,0.0102661
15,730.864,0.64843,1.11616,0.73263,1.30939,0.86713,0.90669,0.92672,0.75338,0.90242,0.90183,0.94203,0.78505,0.57877,0.77524,0.66857,1.27144,0.0102557,0.0102557,0.0102557
16,778.941,0.67556,1.13073,0.75504,1.3377,0.87011,0.92993,0.93784,0.7583,0.86917,0.92872,0.93589,0.75657,0.55469,0.93539,0.70205,1.27186,0.0102454,0.0102454,0.0102454
