epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1582.89,0.55793,0.96059,0.57661,1.23117,0.89936,0.94463,0.96059,0.81679,0.90152,0.94684,0.96229,0.82587,0.50089,0.68823,0.55862,1.24323,0.0101012,0.0101012,0.0101012
31,1636.94,0.56028,0.99782,0.59599,1.24146,0.90671,0.84738,0.9129,0.75098,0.91255,0.85233,0.91595,0.74335,0.55065,0.93051,0.74069,1.30414,0.0100909,0.0100909,0.0100909
32,1690.63,0.55316,0.98436,0.58299,1.24419,0.96176,0.89695,0.96821,0.82304,0.92853,0.9216,0.97,0.8374,0.5248,0.80804,0.52828,1.22758,0.0100806,0.0100806,0.0100806
33,1745.31,0.56825,0.99928,0.62655,1.25502,0.92973,0.87777,0.95473,0.81216,0.92876,0.8765,0.95233,0.79783,0.51607,0.83285,0.59287,1.23158,0.0100703,0.0100703,0.0100703
34,1800.16,0.53867,0.97229,0.57646,1.22741,0.91646,0.92481,0.95733,0.82218,0.92198,0.93044,0.96124,0.824,0.47205,0.74993,0.52544,1.20982,0.01006,0.01006,0.01006
35,1855.68,0.50437,0.90272,0.53665,1.18636,0.94204,0.9386,0.97163,0.85053,0.94204,0.9386,0.97361,0.8528,0.44426,0.67756,0.47762,1.16013,0.0100497,0.0100497,0.0100497
36,1910.16,0.50537,0.90808,0.52793,1.1936,0.92185,0.9422,0.97526,0.8379,0.92155,0.93771,0.97175,0.84423,0.46365,0.69237,0.46967,1.18923,0.0100394,0.0100394,0.0100394
37,1964.49,0.54776,0.95796,0.58882,1.21813,0.92319,0.93783,0.96298,0.82584,0.92658,0.94126,0.96547,0.82924,0.4589,0.68883,0.51666,1.17671,0.0100291,0.0100291,0.0100291
38,2019.79,0.52022,0.91295,0.55628,1.2067,0.93794,0.91766,0.96298,0.85252,0.93657,0.92672,0.96576,0.85052,0.42964,0.64569,0.47366,1.14242,0.0100188,0.0100188,0.0100188
39,2074.56,0.50217,0.89236,0.53835,1.18776,0.96406,0.91144,0.96852,0.8504,0.96779,0.91487,0.9748,0.83681,0.44334,0.73345,0.48861,1.15881,0.0100085,0.0100085,0.0100085
40,2127.37,0.49726,0.84226,0.54087,1.18485,0.93216,0.93436,0.97093,0.84135,0.92988,0.93436,0.9743,0.83876,0.46022,0.73216,0.52001,1.16144,0.00999815,0.00999815,0.00999815
41,2179.64,0.49492,0.88387,0.52637,1.17043,0.94332,0.92297,0.96743,0.83886,0.94332,0.92297,0.96459,0.85006,0.4492,0.70435,0.48739,1.1531,0.00998785,0.00998785,0.00998785
42,2231.53,0.48974,0.86902,0.50895,1.16969,0.92935,0.94192,0.97555,0.858,0.92935,0.94192,0.97235,0.86479,0.44224,0.63615,0.4561,1.14571,0.00997754,0.00997754,0.00997754
43,2283.56,0.50102,0.83748,0.51215,1.16199,0.9501,0.92653,0.97413,0.84986,0.953,0.92629,0.9715,0.84807,0.43939,0.67028,0.45663,1.14015,0.00996724,0.00996724,0.00996724
44,2335.76,0.48569,0.82949,0.49832,1.16306,0.94095,0.93789,0.97699,0.85981,0.94316,0.94011,0.97761,0.86256,0.43497,0.71802,0.43868,1.16295,0.00995694,0.00995694,0.00995694
45,2387.54,0.47177,0.80222,0.48116,1.14114,0.94383,0.94378,0.97521,0.85661,0.94602,0.94605,0.97387,0.86421,0.42408,0.71698,0.44037,1.13503,0.00994663,0.00994663,0.00994663
46,2439.5,0.47047,0.77814,0.48043,1.14546,0.84504,0.81376,0.88739,0.72974,0.85072,0.81939,0.88894,0.64901,0.58491,1.43353,0.78386,1.35787,0.00993633,0.00993633,0.00993633
47,2491.36,0.46077,0.79444,0.48026,1.14832,0.96373,0.92662,0.97163,0.88137,0.96017,0.9232,0.97101,0.87622,0.40665,0.70559,0.42826,1.11364,0.00992603,0.00992603,0.00992603
48,2543.11,0.47364,0.83741,0.49833,1.15672,0.91723,0.92484,0.96866,0.8444,0.91723,0.92484,0.96461,0.85136,0.42706,0.70089,0.50171,1.15789,0.00991572,0.00991572,0.00991572
49,2595.07,0.45996,0.77828,0.47443,1.14031,0.93966,0.95647,0.97431,0.86808,0.94183,0.95869,0.97613,0.86705,0.40397,0.71194,0.43198,1.12165,0.00990542,0.00990542,0.00990542
50,2646.19,0.47069,0.77788,0.47782,1.14685,0.95019,0.93325,0.96991,0.87716,0.95627,0.93782,0.97074,0.87654,0.3976,0.65665,0.43165,1.11506,0.00989511,0.00989511,0.00989511
51,2697.17,0.48758,0.78466,0.50656,1.15091,0.93713,0.92851,0.96963,0.85564,0.94415,0.93536,0.97247,0.86051,0.42555,0.6965,0.44136,1.12252,0.00988481,0.00988481,0.00988481
52,2749.13,0.45123,0.73845,0.46443,1.11916,0.92604,0.9278,0.96531,0.84706,0.93162,0.93343,0.97239,0.86068,0.43718,0.6758,0.51697,1.15894,0.00987451,0.00987451,0.00987451
53,2800.68,0.44829,0.72313,0.4576,1.12464,0.94308,0.9365,0.9759,0.87171,0.94308,0.9365,0.97652,0.87292,0.41299,0.64281,0.44038,1.1244,0.0098642,0.0098642,0.0098642
54,2852.37,0.4494,0.73265,0.45902,1.12651,0.95824,0.94406,0.97833,0.87821,0.94301,0.96497,0.97634,0.88104,0.39265,0.67341,0.39991,1.12054,0.0098539,0.0098539,0.0098539
55,2903.87,0.46951,0.80169,0.47418,1.14504,0.95723,0.93283,0.97639,0.87559,0.95723,0.93283,0.97639,0.87004,0.40554,0.65052,0.41978,1.11406,0.00984359,0.00984359,0.00984359
56,2955.62,0.43489,0.73595,0.447,1.11721,0.96712,0.94852,0.97954,0.88585,0.96712,0.94852,0.97565,0.88266,0.37312,0.68638,0.38326,1.08053,0.00983329,0.00983329,0.00983329
57,3007.68,0.4298,0.71337,0.43551,1.10636,0.95718,0.94905,0.97363,0.87716,0.95718,0.94905,0.97363,0.88133,0.41118,0.65545,0.41176,1.12574,0.00982299,0.00982299,0.00982299
58,3059.47,0.42939,0.72576,0.4414,1.11262,0.92075,0.94442,0.97578,0.86534,0.92413,0.94784,0.97623,0.86059,0.40462,0.62317,0.41496,1.1156,0.00981268,0.00981268,0.00981268
59,3111.25,0.43087,0.69182,0.4391,1.11289,0.96626,0.9402,0.9743,0.88234,0.97352,0.94242,0.97504,0.88055,0.38652,0.70749,0.40673,1.10248,0.00980238,0.00980238,0.00980238
60,3162.7,0.44011,0.7366,0.44734,1.10651,0.93742,0.95589,0.97334,0.86195,0.93962,0.9581,0.97523,0.87211,0.41613,0.80828,0.42198,1.1363,0.00979208,0.00979208,0.00979208
61,3214.08,0.47522,0.81523,0.49315,1.15545,0.90693,0.94169,0.95444,0.83604,0.90693,0.94169,0.95605,0.82878,0.39957,0.70537,0.4766,1.13252,0.00978177,0.00978177,0.00978177
62,3265.9,0.44376,0.72287,0.46119,1.12066,0.94955,0.9392,0.97079,0.86959,0.9461,0.93578,0.9697,0.86118,0.38842,0.64304,0.43649,1.11089,0.00977147,0.00977147,0.00977147
63,3317.77,0.43214,0.73707,0.45425,1.12004,0.93512,0.94242,0.96686,0.8657,0.94331,0.95144,0.96943,0.86316,0.39527,0.61589,0.41896,1.11111,0.00976116,0.00976116,0.00976116
64,3369.69,0.41566,0.67003,0.44004,1.09613,0.94874,0.93723,0.97667,0.87676,0.94874,0.93723,0.97534,0.87405,0.39397,0.69406,0.39727,1.10198,0.00975086,0.00975086,0.00975086
65,3421.54,0.4181,0.64466,0.43145,1.09165,0.97417,0.9339,0.98171,0.88402,0.97417,0.9339,0.97826,0.88316,0.37155,0.68519,0.38413,1.07822,0.00974056,0.00974056,0.00974056
66,3473.2,0.43123,0.68828,0.43809,1.11276,0.94051,0.9686,0.98138,0.8805,0.94051,0.9686,0.98138,0.87375,0.38686,0.62782,0.40043,1.09063,0.00973025,0.00973025,0.00973025
67,3525.32,0.40747,0.65327,0.41064,1.08932,0.96054,0.95337,0.97864,0.88697,0.96054,0.95337,0.97911,0.88784,0.3737,0.67725,0.3808,1.08959,0.00971995,0.00971995,0.00971995
68,3577.1,0.41526,0.67224,0.41673,1.10042,0.94505,0.94411,0.9747,0.88037,0.94731,0.94633,0.97495,0.87884,0.39465,0.69151,0.3981,1.1107,0.00970965,0.00970965,0.00970965
69,3629.21,0.39132,0.63996,0.40651,1.08046,0.92142,0.95833,0.97085,0.87847,0.95786,0.91994,0.97001,0.8727,0.37161,0.64357,0.43353,1.08775,0.00969934,0.00969934,0.00969934
70,3680.73,0.40141,0.66534,0.40752,1.07955,0.95888,0.92935,0.97897,0.89238,0.95912,0.92729,0.97874,0.88447,0.36413,0.71699,0.3885,1.07516,0.00968904,0.00968904,0.00968904
71,3732.65,0.40718,0.62948,0.40815,1.08633,0.96498,0.94982,0.97723,0.87501,0.96498,0.94982,0.97723,0.85781,0.37783,0.69678,0.40523,1.10439,0.00967873,0.00967873,0.00967873
72,3784.97,0.40941,0.62971,0.41835,1.09282,0.9259,0.96375,0.97503,0.86808,0.92921,0.96718,0.97205,0.86916,0.38614,0.7007,0.41305,1.10828,0.00966843,0.00966843,0.00966843
73,3836.35,0.41743,0.68749,0.41907,1.08828,0.94092,0.95534,0.97478,0.87318,0.94092,0.95534,0.9734,0.87687,0.37924,0.67737,0.4471,1.10729,0.00965813,0.00965813,0.00965813
74,3887.63,0.41057,0.64473,0.41235,1.08648,0.9474,0.9573,0.97378,0.8868,0.9474,0.9573,0.97322,0.8831,0.38062,0.68091,0.38171,1.10191,0.00964782,0.00964782,0.00964782
75,3938.87,0.41211,0.65745,0.41794,1.08748,0.95998,0.96538,0.97964,0.89851,0.96069,0.96054,0.97809,0.88878,0.36057,0.72282,0.35544,1.07741,0.00963752,0.00963752,0.00963752
76,3991.01,0.39299,0.61931,0.39274,1.0714,0.97215,0.93175,0.97406,0.88848,0.9759,0.93495,0.9745,0.88435,0.36696,0.66414,0.37966,1.09252,0.00962721,0.00962721,0.00962721
77,4043.04,0.3973,0.61456,0.64834,1.07597,0.96043,0.92547,0.96567,0.85946,0.96404,0.9289,0.96724,0.85852,0.4168,0.65526,0.4535,1.11922,0.00961691,0.00961691,0.00961691
78,4094.86,0.3985,0.60879,0.4194,1.08574,0.95283,0.93093,0.97961,0.88737,0.95283,0.93093,0.97961,0.87843,0.37328,0.68007,0.38921,1.10201,0.00960661,0.00960661,0.00960661
79,4146.99,0.38326,0.57,0.38952,1.06694,0.96191,0.95248,0.97775,0.89432,0.96536,0.9559,0.97858,0.88324,0.35215,0.62877,0.37924,1.07537,0.0095963,0.0095963,0.0095963
80,4198.94,0.38035,0.58765,0.38076,1.05466,0.97478,0.94425,0.97305,0.89347,0.97478,0.94425,0.97305,0.88962,0.35134,0.66275,0.3599,1.06084,0.009586,0.009586,0.009586
81,4250.54,0.39102,0.62406,0.4001,1.09079,0.96861,0.92408,0.97394,0.89315,0.96861,0.92408,0.97169,0.88604,0.36816,0.72142,0.36185,1.07112,0.0095757,0.0095757,0.0095757
82,4302.19,0.38225,0.59629,0.38205,1.06702,0.95777,0.95933,0.98399,0.89446,0.95777,0.95933,0.9824,0.89781,0.35696,0.6879,0.36514,1.07803,0.00956539,0.00956539,0.00956539
83,4354.23,0.38977,0.66536,0.42632,1.0719,0.94621,0.92287,0.96614,0.88046,0.94621,0.92287,0.96539,0.85488,0.35716,0.64736,0.41025,1.08581,0.00955509,0.00955509,0.00955509
84,4405.74,0.39159,0.66808,0.41717,1.08375,0.9577,0.96345,0.97636,0.89417,0.9577,0.96345,0.97395,0.891,0.35808,0.65099,0.37053,1.08614,0.00954478,0.00954478,0.00954478
